algorithm,seed,phase,attack_type,train_episodes,test_episodes,total_timesteps,training_time_sec,fps,episodes,reward_total_mean,reward_total_std,reward_total_ci95,reward_mean_per_step_mean,reward_mean_per_step_std,reward_mean_per_step_ci95,attack_suppression_rate_mean,attack_suppression_rate_std,attack_suppression_rate_ci95,legitimate_preservation_rate_mean,legitimate_preservation_rate_std,legitimate_preservation_rate_ci95,false_positive_rate_mean,false_positive_rate_std,false_positive_rate_ci95,false_negative_rate_mean,false_negative_rate_std,false_negative_rate_ci95,service_availability_mean_mean,service_availability_mean_std,service_availability_mean_ci95,mitigation_delay_ms_mean_mean,mitigation_delay_ms_mean_std,mitigation_delay_ms_mean_ci95,attack_intensity_observed_mean_mean,attack_intensity_observed_mean_std,attack_intensity_observed_mean_ci95,model_path
PPO,42,Early Phase,low_rate_http_flood,150,20,1200,50.979,23.539,20,56566.21857476578,98.30166750334665,43.082605324456765,707.0777321845723,1.2287708437918392,0.5385325665557122,0.6591691118090542,0.0030424883706428223,0.0013334293202319455,0.9326219898238044,0.0013925390779058057,0.0006103071597463622,0.06737801017619571,0.0013925390779058024,0.0006103071597463609,0.34083088819094565,0.003042488370642814,0.0013334293202319418,0.9281526675514993,0.0011213279863516636,0.0004914436581008342,108.66466820837074,1.9927800541336345,0.8733743663887094,0.23343046572610837,0.004818159200099549,0.002111651373576366,./results_revised_5h\ppo_Early_Phase_seed_42.zip
A2C,42,Early Phase,low_rate_http_flood,150,20,1200,51.395,23.349,20,56852.29865907164,97.88040081153866,42.8979770563871,710.6537332383955,1.2235050101442342,0.5362247132048391,0.7750407174902804,0.0029406976913310848,0.0012888175880622279,0.8644260874943164,0.0013694708495467296,0.0006001970629070113,0.13557391250568365,0.0013694708495467234,0.0006001970629070086,0.2249592825097196,0.0029406976913310887,0.0012888175880622296,0.9177927696154076,0.0011188796600219207,0.0004903706317763702,180.51062875276483,2.0636566406351116,0.904437400013077,0.23343046572610837,0.004818159200099549,0.002111651373576366,./results_revised_5h\a2c_Early_Phase_seed_42.zip
DQN,42,Early Phase,low_rate_http_flood,150,20,1200,51.52,23.292,20,56566.21857476578,98.30166750334665,43.082605324456765,707.0777321845723,1.2287708437918392,0.5385325665557122,0.6591691118090542,0.0030424883706428223,0.0013334293202319455,0.9326219898238044,0.0013925390779058057,0.0006103071597463622,0.06737801017619571,0.0013925390779058024,0.0006103071597463609,0.34083088819094565,0.003042488370642814,0.0013334293202319418,0.9281526675514993,0.0011213279863516636,0.0004914436581008342,108.66466820837074,1.9927800541336345,0.8733743663887094,0.23343046572610837,0.004818159200099549,0.002111651373576366,./results_revised_5h\dqn_Early_Phase_seed_42.zip
SAC,42,Early Phase,low_rate_http_flood,150,20,1200,59.176,20.279,20,56566.21857476578,98.30166750334665,43.082605324456765,707.0777321845723,1.2287708437918392,0.5385325665557122,0.6591691118090542,0.0030424883706428223,0.0013334293202319455,0.9326219898238044,0.0013925390779058057,0.0006103071597463622,0.06737801017619571,0.0013925390779058024,0.0006103071597463609,0.34083088819094565,0.003042488370642814,0.0013334293202319418,0.9281526675514993,0.0011213279863516636,0.0004914436581008342,108.66466820837074,1.9927800541336345,0.8733743663887094,0.23343046572610837,0.004818159200099549,0.002111651373576366,./results_revised_5h\sac_Early_Phase_seed_42.zip
TD3,42,Early Phase,low_rate_http_flood,150,20,1200,58.109,20.651,20,56566.21857476578,98.30166750334665,43.082605324456765,707.0777321845723,1.2287708437918392,0.5385325665557122,0.6591691118090542,0.0030424883706428223,0.0013334293202319455,0.9326219898238044,0.0013925390779058057,0.0006103071597463622,0.06737801017619571,0.0013925390779058024,0.0006103071597463609,0.34083088819094565,0.003042488370642814,0.0013334293202319418,0.9281526675514993,0.0011213279863516636,0.0004914436581008342,108.66466820837074,1.9927800541336345,0.8733743663887094,0.23343046572610837,0.004818159200099549,0.002111651373576366,./results_revised_5h\td3_Early_Phase_seed_42.zip
Baseline,42,Early Phase,low_rate_http_flood,0,20,0,0.0,0.0,20,38890.95564847305,141.68224752773924,62.094982788687375,486.1369456059132,1.7710280940967413,0.7761872848585927,0.09578195787982906,0.0026156387618419714,0.0011463542309081579,0.9881141734355905,0.0011375483840518205,0.000498552560829242,0.011885826564409376,0.0011375483840518228,0.000498552560829243,0.904218042120171,0.002615638761841988,0.0011463542309081652,0.8649048700539211,0.0023652706338910616,0.0010366255608226286,92.78822096726648,2.055785323319119,0.9009876430972349,0.23343046572610837,0.004818159200099549,0.002111651373576366,
PPO,42,Mid Phase,mixed_tcp_http_flood,375,25,3000,130.814,22.933,25,68298.9181272571,122.52376339365081,48.029315250311114,682.9891812725708,1.2252376339365052,0.48029315250311005,0.6921445346037784,0.0029688852053009964,0.0011638030004779906,0.9147866865358506,0.001281255327773963,0.0005022520884873934,0.0852133134641494,0.0012812553277739794,0.0005022520884873999,0.30785546539622155,0.0029688852053009977,0.001163803000477991,0.8856801772705964,0.0009457049302092661,0.0003707163326420323,122.46292707410724,1.9654104182484409,0.7704408839533887,0.4554386356612978,0.0060351828066295115,0.0023657916601987684,./results_revised_5h\ppo_Mid_Phase_seed_42.zip
A2C,42,Mid Phase,mixed_tcp_http_flood,375,25,3000,127.643,23.503,25,70625.58756653576,121.11630693019418,47.47759231663612,706.2558756653577,1.211163069301937,0.47477592316635936,0.8063327572010701,0.0026133508382099563,0.0010244335285783028,0.8767112511204952,0.001260840196819592,0.00049424935715328,0.12328874887950478,0.001260840196819585,0.0004942493571532773,0.1936672427989299,0.002613350838209959,0.001024433528578304,0.8992371963460257,0.0009666987064301853,0.0003789458929206326,209.36996873224172,2.0910514151215116,0.8196921547276326,0.4554386356612978,0.0060351828066295115,0.0023657916601987684,./results_revised_5h\a2c_Mid_Phase_seed_42.zip
DQN,42,Mid Phase,mixed_tcp_http_flood,375,25,3000,139.479,21.509,25,68291.48795500137,120.59218577071428,47.27213682212,682.9148795500136,1.2059218577071398,0.4727213682211988,0.6917564993726412,0.002709121669285891,0.0010619756943600694,0.9149092255627762,0.001277169439875927,0.0005006504204313634,0.08509077443722378,0.001277169439875941,0.0005006504204313689,0.30824350062735895,0.0027091216692858937,0.0010619756943600705,0.8856273314494044,0.0009279445709010981,0.00036375427179323043,122.16294609627299,1.7771328988364452,0.6966360963438866,0.4554386356612978,0.0060351828066295115,0.0023657916601987684,./results_revised_5h\dqn_Mid_Phase_seed_42.zip
SAC,42,Mid Phase,mixed_tcp_http_flood,375,25,3000,153.524,19.541,25,70625.58756653576,121.11630693019418,47.47759231663612,706.2558756653577,1.211163069301937,0.47477592316635936,0.8063327572010701,0.0026133508382099563,0.0010244335285783028,0.8767112511204952,0.001260840196819592,0.00049424935715328,0.12328874887950478,0.001260840196819585,0.0004942493571532773,0.1936672427989299,0.002613350838209959,0.001024433528578304,0.8992371963460257,0.0009666987064301853,0.0003789458929206326,209.36996873224172,2.0910514151215116,0.8196921547276326,0.4554386356612978,0.0060351828066295115,0.0023657916601987684,./results_revised_5h\sac_Mid_Phase_seed_42.zip
