timestamp,algorithm,seed,phase,attack_type,train_episodes,test_episodes,episode,steps,reward_total,reward_mean_per_step,attack_rate_config,legitimate_rate_config,burst_probability_config,source_variation_config,adaptive_shift_config,attack_requests,legitimate_requests,attack_blocked,attack_passed,legitimate_allowed,false_positives,attack_suppression_rate,legitimate_preservation_rate,false_positive_rate,false_negative_rate,service_availability_mean,service_availability_std,mitigation_delay_ms_mean,mitigation_delay_ms_std,attack_intensity_observed_mean,action_no_action_count,action_no_action_ratio,action_rate_limit_count,action_rate_limit_ratio,action_block_suspicious_source_count,action_block_suspicious_source_ratio,action_scale_target_service_count,action_scale_target_service_ratio,action_hybrid_rate_limit_and_scale_count,action_hybrid_rate_limit_and_scale_ratio,host_cpu_percent,host_ram_percent,host_temperature_c,gpu_load_percent,gpu_mem_util_percent,gpu_temperature_c,ddos_attacker_cpu_percent,ddos_attacker_mem_mb,ddos_attacker_mem_limit_mb,ddos_attacker_net_rx_mb,ddos_attacker_net_tx_mb,ddos_target_cpu_percent,ddos_target_mem_mb,ddos_target_mem_limit_mb,ddos_target_net_rx_mb,ddos_target_net_tx_mb,ddos_monitor_cpu_percent,ddos_monitor_mem_mb,ddos_monitor_mem_limit_mb,ddos_monitor_net_rx_mb,ddos_monitor_net_tx_mb
2026-05-03 14:33:06,PPO,42,Early Phase,low_rate_http_flood,150,20,11,80,56616.46150079933,707.7057687599915,0.22,0.78,0.05,0.15,0.05,52596,70983,34818,17778,66245,4738,0.6619895049053159,0.9332516236281927,0.06674837637180733,0.338010495094684,0.9270522811356499,0.016027526317556006,110.4444351448708,19.898714105973347,0.2339935494117983,0,0.0,0,0.0,80,1.0,0,0.0,0,0.0,31.2,72.7,,nan,28.96,0.0,88.954,11.956,8239.94,284.098685,104.767655,6.156,11.121,8239.94,105.671725,286.551885,0.0,0.504,8239.94,0.295181,0.107595
2026-05-03 14:33:15,PPO,42,Early Phase,low_rate_http_flood,150,20,12,80,56519.853764000065,706.4981720500008,0.22,0.78,0.05,0.15,0.05,54774,70884,36417,18357,66052,4832,0.6648592397852996,0.9318322893741888,0.06816771062581119,0.3351407602147004,0.9281353416510545,0.01855163274648081,110.69374646826763,14.883205282121459,0.24449131958075238,0,0.0,0,0.0,80,1.0,0,0.0,0,0.0,13.3,70.4,,nan,28.96,0.0,94.544,9.306,8239.94,289.126132,106.625212,6.021,11.112,8239.94,107.283774,290.93268,0.156,0.492,8239.94,0.302846,0.110314
2026-05-03 14:33:24,PPO,42,Early Phase,low_rate_http_flood,150,20,13,80,56646.60140666678,708.0825175833347,0.22,0.78,0.05,0.15,0.05,52127,71189,34369,17758,66488,4701,0.6593320160377539,0.9339645169899844,0.06603548301001559,0.34066798396224607,0.9282295260062978,0.018273521278777495,109.30560953868326,15.472291949609643,0.22742825959741478,0,0.0,0,0.0,80,1.0,0,0.0,0,0.0,62.5,71.0,,nan,30.37,0.0,93.318,9.032,8239.94,292.908464,108.00501,5.595,11.108,8239.94,108.683867,294.765375,0.149,0.496,8239.94,0.308846,0.112542
2026-05-03 14:33:32,PPO,42,Early Phase,low_rate_http_flood,150,20,14,80,56558.31769854111,706.9789712317639,0.22,0.78,0.05,0.15,0.05,53556,71097,35291,18265,66459,4638,0.6589551124057061,0.9347651799653994,0.06523482003460061,0.3410448875942938,0.9282662818308587,0.022478969027232485,106.79366963723282,17.66215507901653,0.2374848377714735,0,0.0,0,0.0,80,1.0,0,0.0,0,0.0,25.0,71.6,,nan,31.74,0.0,92.826,10.039,8239.94,296.596346,109.35581,5.695,11.104,8239.94,110.043009,298.466013,0.14,0.5,8239.94,0.314978,0.114704
2026-05-03 14:33:40,PPO,42,Early Phase,low_rate_http_flood,150,20,15,80,56609.52090207828,707.6190112759784,0.22,0.78,0.05,0.15,0.05,52751,71384,34820,17931,66696,4688,0.6600822733218328,0.9343270200605177,0.06567297993948223,0.3399177266781672,0.9271551228971868,0.019044148779974963,112.13140411041164,17.471870065747588,0.23135497316737025,0,0.0,0,0.0,80,1.0,0,0.0,0,0.0,41.2,72.7,,nan,31.59,0.0,92.176,9.998,8239.94,300.327344,110.728592,5.42,11.112,8239.94,111.413175,302.188341,0.167,0.492,8239.94,0.321044,0.1168
2026-05-03 14:33:48,PPO,42,Early Phase,low_rate_http_flood,150,20,16,80,56631.68920014137,707.8961150017672,0.22,0.78,0.05,0.15,0.05,52651,70921,34467,18184,66229,4692,0.6546314409982716,0.9338418804021376,0.06615811959786241,0.34536855900172836,0.9301514040142884,0.016895279588937846,105.48728091769472,16.47046073306676,0.23012634397025794,0,0.0,0,0.0,80,1.0,0,0.0,0,0.0,33.3,72.4,,nan,28.47,0.0,92.436,9.277,8239.94,304.07723,112.113462,8.04,11.137,8239.94,113.075505,306.679059,0.0,0.5,8239.94,0.327044,0.118962
2026-05-03 14:33:57,PPO,42,Early Phase,low_rate_http_flood,150,20,17,80,56609.99643741005,707.6249554676257,0.22,0.78,0.05,0.15,0.05,52762,70713,34774,17988,65897,4816,0.659072817558091,0.9318937111987895,0.06810628880121053,0.34092718244190895,0.9294305666375806,0.01772280673383612,109.1906628571351,18.966544325036768,0.22896124113946054,0,0.0,0,0.0,80,1.0,0,0.0,0,0.0,37.5,72.7,,nan,28.71,0.0,91.2,11.698,8239.94,313.991546,115.770836,8.225,11.076,8239.94,117.004869,317.341795,0.152,0.496,8239.94,0.334577,0.121681
2026-05-03 14:34:06,PPO,42,Early Phase,low_rate_http_flood,150,20,18,80,56596.5934164712,707.4574177058901,0.22,0.78,0.05,0.15,0.05,53645,70593,35569,18076,65858,4735,0.6630440861217262,0.9329253608714745,0.06707463912852549,0.33695591387827384,0.9266452510217734,0.018446093455908433,105.31476368105238,18.633107531723656,0.23994916760783314,0,0.0,0,0.0,80,1.0,0,0.0,0,0.0,72.0,73.3,,nan,29.25,0.0,86.707,12.149,8239.94,326.153462,120.259708,13.597,11.145,8239.94,121.673565,329.982693,0.0,0.508,8239.94,0.340511,0.123909
2026-05-03 14:34:15,PPO,42,Early Phase,low_rate_http_flood,150,20,19,80,56568.87558157496,707.110944769687,0.22,0.78,0.05,0.15,0.05,54123,71313,35780,18343,66450,4863,0.6610867838072538,0.9318076648016491,0.06819233519835093,0.33891321619274617,0.9270401890391116,0.018881691081273164,106.59240186015336,19.466968052029163,0.24198744932275967,0,0.0,0,0.0,80,1.0,0,0.0,0,0.0,29.4,71.0,,nan,28.52,0.0,92.395,9.626,8239.94,332.706089,122.683433,5.955,11.162,8239.94,123.408376,334.677294,0.182,0.496,8239.94,0.34811,0.126628
2026-05-03 14:34:24,PPO,42,Early Phase,low_rate_http_flood,150,20,20,80,56424.51363620758,705.3064204525947,0.22,0.78,0.05,0.15,0.05,53388,70747,34856,18532,66063,4684,0.6528807971828875,0.9337922456075876,0.0662077543924124,0.34711920281711245,0.9287808912725751,0.020171089819944577,106.8797455021039,18.237129831283234,0.23598039719185954,0,0.0,0,0.0,80,1.0,0,0.0,0,0.0,26.1,71.6,,nan,28.91,0.0,93.692,9.146,8239.94,336.699671,124.151087,5.922,11.145,8239.94,124.866062,338.648526,0.137,0.504,8239.94,0.354176,0.12879
